"Date","specimen","timepoint_mo","Condition","CD45_count","Tcells_count","Vd2_pos","Vd2_neg","Va7.2_pos","Va7.2_neg","CD4_pos","CD8_pos"
"2025-08-22","INF0013",0,"Ctrl",836573,182751,0.01,0.99,0.01,0.98,0.85,0.12
"2025-08-22","INF0013",4,"Ctrl",788604,281544,0.01,0.99,0.01,0.98,0.53,0.12
"2025-08-22","INF0013",9,"Ctrl",380430,209346,0,1,0.01,0.99,0.63,0.33
"2025-08-22","INF0023",0,"Ctrl",968035,218435,0.01,0.99,0.02,0.97,0.74,0.2
"2025-08-22","INF0023",4,"Ctrl",1307804,460826,0,1,0.02,0.97,0.71,0.24
"2025-08-22","INF0023",9,"Ctrl",639892,314132,0,1,0.04,0.96,0.58,0.33
"2025-08-22","INF0030",0,"Ctrl",732321,85521,0,1,0.02,0.98,0.65,0.3
"2025-08-22","INF0030",4,"Ctrl",536358,258250,0,1,0.02,0.97,0.61,0.3
"2025-08-22","INF0030",9,"Ctrl",759205,489165,0,1,0.03,0.96,0.53,0.39
"2025-08-22","INF0013",0,"PPD",843590,182108,0.01,0.99,0.01,0.98,0.85,0.12
"2025-08-22","INF0013",4,"PPD",615551,189329,0.01,0.99,0.01,0.98,0.56,0.36
"2025-08-22","INF0013",9,"PPD",464537,261044,0.01,0.99,0.01,0.98,0.62,0.34
"2025-08-22","INF0023",0,"PPD",1048767,222251,0.01,0.99,0.02,0.97,0.73,0.2
"2025-08-22","INF0023",4,"PPD",1314066,442707,0,1,0.02,0.97,0.71,0.23
"2025-08-22","INF0023",9,"PPD",614541,296169,0,1,0.04,0.96,0.59,0.32
"2025-08-22","INF0030",0,"PPD",673857,82658,0,1,0.02,0.98,0.65,0.3
"2025-08-22","INF0030",4,"PPD",592064,269391,0.01,0.99,0.02,0.97,0.6,0.31
"2025-08-22","INF0030",9,"PPD",970490,625597,0,1,0.03,0.96,0.54,0.38
"2025-08-22","INF0013",0,"SEB",867533,187955,0.01,0.99,0.01,0.99,0.77,0.18
"2025-08-22","INF0013",4,"SEB",653038,205771,0.01,0.99,0.01,0.98,0.53,0.4
"2025-08-22","INF0013",9,"SEB",218581,127799,0,1,0.01,0.99,0.63,0.34
"2025-08-22","INF0023",0,"SEB",1054847,245172,0.01,0.99,0.01,0.98,0.66,0.23
"2025-08-22","INF0023",4,"SEB",1318180,453500,0,1,0.01,0.98,0.7,0.25
"2025-08-22","INF0023",9,"SEB",585400,261350,0,1,0.02,0.98,0.56,0.36
"2025-08-22","INF0030",0,"SEB",732006,87991,0,1,0.01,0.99,0.61,0.33
"2025-08-22","INF0030",4,"SEB",490896,229988,0,1,0.01,0.98,0.59,0.32
"2025-08-22","INF0030",9,"SEB",926978,583119,0,1,0.02,0.98,0.54,0.39
"2025-08-28","INF0166",0,"Ctrl",739495,225650,0,1,0.01,0.99,0.84,0.14
"2025-08-28","INF0166",4,"Ctrl",598027,231122,0.01,0.99,0.01,0.98,0.67,0.26
"2025-08-28","INF0166",9,"Ctrl",698484,354348,0.01,0.99,0.01,0.98,0.7,0.24
"2025-08-28","INF0199",0,"Ctrl",1112176,169736,0.01,0.99,0.02,0.97,0.55,0.37
"2025-08-28","INF0199",4,"Ctrl",639373,188750,0.02,0.98,0.01,0.97,0.29,0.53
"2025-08-28","INF0199",9,"Ctrl",774996,388336,0.01,0.99,0.01,0.98,0.34,0.53
"2025-08-28","INF0207",0,"Ctrl",905365,39055,0.03,0.97,0.02,0.96,0.65,0.25
"2025-08-28","INF0207",4,"Ctrl",573683,174809,0.01,0.99,0.02,0.97,0.45,0.45
"2025-08-28","INF0207",9,"Ctrl",729712,341997,0.01,0.99,0.02,0.98,0.7,0.24
"2025-08-28","INF0166",0,"PPD",912401,287341,0,1,0.01,0.99,0.84,0.14
"2025-08-28","INF0166",4,"PPD",580022,229479,0.01,0.99,0.01,0.98,0.68,0.25
"2025-08-28","INF0166",9,"PPD",666724,344436,0.01,0.99,0.01,0.98,0.7,0.24
"2025-08-28","INF0199",0,"PPD",960247,155310,0.01,0.99,0.02,0.97,0.55,0.37
"2025-08-28","INF0199",4,"PPD",592802,194829,0.02,0.98,0.01,0.97,0.27,0.55
"2025-08-28","INF0199",9,"PPD",603141,330254,0.01,0.99,0.01,0.98,0.31,0.56
